ICD10_Code,description,syndrome,bacterial_syndrome
J86,Pyothorax,LRTI/empyema,yes
J86.0,Pyothorax with fistula,LRTI/empyema,yes
J86.9,Pyothorax without fistula,LRTI/empyema,yes
L03,Cellulitis and acute lymphangitis,skin infections,yes
L03.0,Cellulitis and acute lymphangitis of finger and toe,skin infections,yes
L03.01,Cellulitis of finger,skin infections,yes
L03.011,Cellulitis of right finger,skin infections,yes
L03.012,Cellulitis of left finger,skin infections,yes
L03.019,Cellulitis of unspecified finger,skin infections,yes
L03.02,Acute lymphangitis of finger,skin infections,yes
L03.021,Acute lymphangitis of right finger,skin infections,yes
L03.022,Acute lymphangitis of left finger,skin infections,yes
L03.029,Acute lymphangitis of unspecified finger,skin infections,yes
L03.03,Cellulitis of toe,skin infections,yes
L03.031,Cellulitis of right toe,skin infections,yes
L03.032,Cellulitis of left toe,skin infections,yes
L03.039,Cellulitis of unspecified toe,skin infections,yes
L03.04,Acute lymphangitis of toe,skin infections,yes
L03.041,Acute lymphangitis of right toe,skin infections,yes
L03.042,Acute lymphangitis of left toe,skin infections,yes
L03.049,Acute lymphangitis of unspecified toe,skin infections,yes
L03.1,Cellulitis and acute lymphangitis of other parts of limb,skin infections,yes
L03.11,Cellulitis of other parts of limb,skin infections,yes
L03.111,Cellulitis of right axilla,skin infections,yes
L03.112,Cellulitis of left axilla,skin infections,yes
L03.113,Cellulitis of right upper limb,skin infections,yes
L03.114,Cellulitis of left upper limb,skin infections,yes
L03.115,Cellulitis of right lower limb,skin infections,yes
L03.116,Cellulitis of left lower limb,skin infections,yes
L03.119,Cellulitis of unspecified part of limb,skin infections,yes
L03.12,Acute lymphangitis of other parts of limb,skin infections,yes
L03.121,Acute lymphangitis of right axilla,skin infections,yes
L03.122,Acute lymphangitis of left axilla,skin infections,yes
L03.123,Acute lymphangitis of right upper limb,skin infections,yes
L03.124,Acute lymphangitis of left upper limb,skin infections,yes
L03.125,Acute lymphangitis of right lower limb,skin infections,yes
L03.126,Acute lymphangitis of left lower limb,skin infections,yes
L03.129,Acute lymphangitis of unspecified part of limb,skin infections,yes
L03.2,Cellulitis and acute lymphangitis of face and neck,skin infections,yes
L03.21,Cellulitis and acute lymphangitis of face,skin infections,yes
L03.211,Cellulitis of face,skin infections,yes
L03.212,Acute lymphangitis of face,skin infections,yes
L03.213,Periorbital cellulitis,skin infections,yes
L03.22,Cellulitis and acute lymphangitis of neck,skin infections,yes
L03.221,Cellulitis of neck,skin infections,yes
L03.222,Acute lymphangitis of neck,skin infections,yes
L03.3,Cellulitis and acute lymphangitis of trunk,skin infections,yes
L03.31,Cellulitis of trunk,skin infections,yes
L03.311,Cellulitis of abdominal wall,skin infections,yes
L03.312,Cellulitis of back [any part except buttock],skin infections,yes
L03.313,Cellulitis of chest wall,skin infections,yes
L03.314,Cellulitis of groin,skin infections,yes
L03.315,Cellulitis of perineum,skin infections,yes
L03.316,Cellulitis of umbilicus,skin infections,yes
L03.317,Cellulitis of buttock,skin infections,yes
L03.319,…… unspecified,skin infections,yes
L03.32,Acute lymphangitis of trunk,skin infections,yes
L03.321,Acute lymphangitis of abdominal wall,skin infections,yes
L03.322,Acute lymphangitis of back [any part except buttock],skin infections,yes
L03.323,Acute lymphangitis of chest wall,skin infections,yes
L03.324,Acute lymphangitis of groin,skin infections,yes
L03.325,Acute lymphangitis of perineum,skin infections,yes
L03.326,Acute lymphangitis of umbilicus,skin infections,yes
L03.327,Acute lymphangitis of buttock,skin infections,yes
L03.329,…… unspecified,skin infections,yes
L03.8,Cellulitis and acute lymphangitis of other sites,skin infections,yes
L03.81 ,Cellulitis of other sites,skin infections,yes
L03.811,"Cellulitis of head [any part, except face]",skin infections,yes
L03.818,Cellulitis of other sites,skin infections,yes
L03.89,Acute lymphangitis of other sites,skin infections,yes
L03.891,"Acute lymphangitis of head [any part, except face]",skin infections,yes
L03.898,Acute lymphangitis of other sites,skin infections,yes
L03.9,"Cellulitis and acute lymphangitis, unspecified",skin infections,yes
L03.90,"Cellulitis, unspecified",skin infections,yes
L03.91,"Acute lymphangitis, unspecified",skin infections,yes
A46,Erysipelas,skin infections,yes
L01,Impetigo,skin infections,yes
L01.0,Impetigo,skin infections,yes
L01.00,…… unspecified,skin infections,yes
L01.01,Non-bullous impetigo,skin infections,yes
L01.02,Bockhart's impetigo,skin infections,yes
L01.03,Bullous impetigo,skin infections,yes
L01.09,Other impetigo,skin infections,yes
L01.1,Impetiginization of other dermatoses,skin infections,yes
M72.6,Necrotizing fasciitis,necrotizing fasciitis,yes
N30,Cystitis,UTI/pyelonefritis,yes
N30.0,Acute cystitis,UTI/pyelonefritis,yes
N30.00,…… without hematuria,UTI/pyelonefritis,yes
N30.01,…… with hematuria,UTI/pyelonefritis,yes
N30.1,Interstitial cystitis (chronic),UTI/pyelonefritis,yes
N30.10,…… without hematuria,UTI/pyelonefritis,yes
N30.11,…… with hematuria,UTI/pyelonefritis,yes
N30.2,Other chronic cystitis,UTI/pyelonefritis,yes
N30.20,…… without hematuria,UTI/pyelonefritis,yes
N30.21,…… with hematuria,UTI/pyelonefritis,yes
N30.3,Trigonitis,UTI/pyelonefritis,yes
N30.30,…… without hematuria,UTI/pyelonefritis,yes
N30.31,…… with hematuria,UTI/pyelonefritis,yes
N30.4,Irradiation cystitis,UTI/pyelonefritis,yes
N30.40,…… without hematuria,UTI/pyelonefritis,yes
N30.41,…… with hematuria,UTI/pyelonefritis,yes
N30.8,Other cystitis,UTI/pyelonefritis,yes
N30.80,…… without hematuria,UTI/pyelonefritis,yes
N30.81,…… with hematuria,UTI/pyelonefritis,yes
N30.9,"Cystitis, unspecified",UTI/pyelonefritis,yes
N30.90,…… without hematuria,UTI/pyelonefritis,yes
N30.91,…… with hematuria,UTI/pyelonefritis,yes
N10,Acute tubulo-interstitial nephritis,UTI/pyelonefritis,yes
N39.0,"Urinary tract infection, site not specified",UTI/pyelonefritis,yes
P39.3,Neonatal urinary tract infection,UTI/pyelonefritis,yes
M86,Osteomyelitis,bone infections,yes
M86.0,Acute hematogenous osteomyelitis,bone infections,yes
M86.00,…… unspecified site,bone infections,yes
M86.01,"Acute hematogenous osteomyelitis, shoulder",bone infections,yes
M86.011,"Acute hematogenous osteomyelitis, right shoulder",bone infections,yes
M86.012,"Acute hematogenous osteomyelitis, left shoulder",bone infections,yes
M86.019,"Acute hematogenous osteomyelitis, unspecified shoulder",bone infections,yes
M86.02,"Acute hematogenous osteomyelitis, humerus",bone infections,yes
M86.021,"Acute hematogenous osteomyelitis, right humerus",bone infections,yes
M86.022,"Acute hematogenous osteomyelitis, left humerus",bone infections,yes
M86.029,"Acute hematogenous osteomyelitis, unspecified humerus",bone infections,yes
M86.03,"Acute hematogenous osteomyelitis, radius and ulna",bone infections,yes
M86.031,"Acute hematogenous osteomyelitis, right radius and ulna",bone infections,yes
M86.032,"Acute hematogenous osteomyelitis, left radius and ulna",bone infections,yes
M86.039,"Acute hematogenous osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.04,"Acute hematogenous osteomyelitis, hand",bone infections,yes
M86.041,"Acute hematogenous osteomyelitis, right hand",bone infections,yes
M86.042,"Acute hematogenous osteomyelitis, left hand",bone infections,yes
M86.049,"Acute hematogenous osteomyelitis, unspecified hand",bone infections,yes
M86.05,"Acute hematogenous osteomyelitis, femur",bone infections,yes
M86.051,"Acute hematogenous osteomyelitis, right femur",bone infections,yes
M86.052,"Acute hematogenous osteomyelitis, left femur",bone infections,yes
M86.059,"Acute hematogenous osteomyelitis, unspecified femur",bone infections,yes
M86.06,"Acute hematogenous osteomyelitis, tibia and fibula",bone infections,yes
M86.061,"Acute hematogenous osteomyelitis, right tibia and fibula",bone infections,yes
M86.062,"Acute hematogenous osteomyelitis, left tibia and fibula",bone infections,yes
M86.069,"Acute hematogenous osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.07,"Acute hematogenous osteomyelitis, ankle and foot",bone infections,yes
M86.071,"Acute hematogenous osteomyelitis, right ankle and foot",bone infections,yes
M86.072,"Acute hematogenous osteomyelitis, left ankle and foot",bone infections,yes
M86.079,"Acute hematogenous osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.08,…… other sites,bone infections,yes
M86.09,…… multiple sites,bone infections,yes
M86.1,Other acute osteomyelitis,bone infections,yes
M86.10,…… unspecified site,bone infections,yes
M86.11,"Other acute osteomyelitis, shoulder",bone infections,yes
M86.111,"Other acute osteomyelitis, right shoulder",bone infections,yes
M86.112,"Other acute osteomyelitis, left shoulder",bone infections,yes
M86.119,"Other acute osteomyelitis, unspecified shoulder",bone infections,yes
M86.12,"Other acute osteomyelitis, humerus",bone infections,yes
M86.121,"Other acute osteomyelitis, right humerus",bone infections,yes
M86.122,"Other acute osteomyelitis, left humerus",bone infections,yes
M86.129,"Other acute osteomyelitis, unspecified humerus",bone infections,yes
M86.13,"Other acute osteomyelitis, radius and ulna",bone infections,yes
M86.131,"Other acute osteomyelitis, right radius and ulna",bone infections,yes
M86.132,"Other acute osteomyelitis, left radius and ulna",bone infections,yes
M86.139,"Other acute osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.14,"Other acute osteomyelitis, hand",bone infections,yes
M86.141,"Other acute osteomyelitis, right hand",bone infections,yes
M86.142,"Other acute osteomyelitis, left hand",bone infections,yes
M86.149,"Other acute osteomyelitis, unspecified hand",bone infections,yes
M86.15,"Other acute osteomyelitis, femur",bone infections,yes
M86.151,"Other acute osteomyelitis, right femur",bone infections,yes
M86.152,"Other acute osteomyelitis, left femur",bone infections,yes
M86.159,"Other acute osteomyelitis, unspecified femur",bone infections,yes
M86.16,"Other acute osteomyelitis, tibia and fibula",bone infections,yes
M86.161,"Other acute osteomyelitis, right tibia and fibula",bone infections,yes
M86.162,"Other acute osteomyelitis, left tibia and fibula",bone infections,yes
M86.169,"Other acute osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.17,"Other acute osteomyelitis, ankle and foot",bone infections,yes
M86.171,"Other acute osteomyelitis, right ankle and foot",bone infections,yes
M86.172,"Other acute osteomyelitis, left ankle and foot",bone infections,yes
M86.179,"Other acute osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.18,…… other site,bone infections,yes
M86.19,…… multiple sites,bone infections,yes
M86.2,Subacute osteomyelitis,bone infections,yes
M86.20,…… unspecified site,bone infections,yes
M86.21,"Subacute osteomyelitis, shoulder",bone infections,yes
M86.211,"Subacute osteomyelitis, right shoulder",bone infections,yes
M86.212,"Subacute osteomyelitis, left shoulder",bone infections,yes
M86.219,"Subacute osteomyelitis, unspecified shoulder",bone infections,yes
M86.22,"Subacute osteomyelitis, humerus",bone infections,yes
M86.221,"Subacute osteomyelitis, right humerus",bone infections,yes
M86.222,"Subacute osteomyelitis, left humerus",bone infections,yes
M86.229,"Subacute osteomyelitis, unspecified humerus",bone infections,yes
M86.23,"Subacute osteomyelitis, radius and ulna",bone infections,yes
M86.231,"Subacute osteomyelitis, right radius and ulna",bone infections,yes
M86.232,"Subacute osteomyelitis, left radius and ulna",bone infections,yes
M86.239,"Subacute osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.24,"Subacute osteomyelitis, hand",bone infections,yes
M86.241,"Subacute osteomyelitis, right hand",bone infections,yes
M86.242,"Subacute osteomyelitis, left hand",bone infections,yes
M86.249,"Subacute osteomyelitis, unspecified hand",bone infections,yes
M86.25,"Subacute osteomyelitis, femur",bone infections,yes
M86.251,"Subacute osteomyelitis, right femur",bone infections,yes
M86.252,"Subacute osteomyelitis, left femur",bone infections,yes
M86.259,"Subacute osteomyelitis, unspecified femur",bone infections,yes
M86.26,"Subacute osteomyelitis, tibia and fibula",bone infections,yes
M86.261,"Subacute osteomyelitis, right tibia and fibula",bone infections,yes
M86.262,"Subacute osteomyelitis, left tibia and fibula",bone infections,yes
M86.269,"Subacute osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.27,"Subacute osteomyelitis, ankle and foot",bone infections,yes
M86.271,"Subacute osteomyelitis, right ankle and foot",bone infections,yes
M86.272,"Subacute osteomyelitis, left ankle and foot",bone infections,yes
M86.279,"Subacute osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.28,…… other site,bone infections,yes
M86.29,…… multiple sites,bone infections,yes
M86.3,Chronic multifocal osteomyelitis,bone infections,yes
M86.30,…… unspecified site,bone infections,yes
M86.31,"Chronic multifocal osteomyelitis, shoulder",bone infections,yes
M86.311,"Chronic multifocal osteomyelitis, right shoulder",bone infections,yes
M86.312,"Chronic multifocal osteomyelitis, left shoulder",bone infections,yes
